City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Gotsu,JP,2021-11-28 01:02:46,35.0,132.2167,51.93,51,3,6.67
153,Moussoro,TD,2021-11-28 01:02:47,13.6408,16.4901,74.46,15,11,10.18
154,Ulladulla,AU,2021-11-28 01:02:47,-35.35,150.4667,62.02,68,98,10.67
155,Aitape,PG,2021-11-28 01:02:47,-3.1374,142.3475,85.08,67,91,1.79
156,Waingapu,ID,2021-11-28 01:02:48,-9.6567,120.2641,81.03,81,100,3.51
157,Bowen,AU,2021-11-28 01:02:48,-20.0167,148.2333,83.16,68,72,9.84
158,Honiara,SB,2021-11-28 01:02:49,-9.4333,159.95,86.31,69,98,5.37
159,Yelandur,IN,2021-11-28 01:02:49,12.0667,77.0333,68.61,95,100,4.81
160,Nisia Floresta,BR,2021-11-28 01:02:49,-6.0911,-35.2086,77.86,77,23,7.9
161,Albury,AU,2021-11-28 01:02:50,-36.0833,146.9167,69.89,43,0,0.58
162,Tilichiki,RU,2021-11-28 01:02:50,60.4667,166.1,22.57,89,100,9.86
163,Port Moresby,PG,2021-11-28 01:02:51,-9.4431,147.1797,85.32,64,32,5.23
164,Benjamin Aceval,PY,2021-11-28 01:02:51,-24.9667,-57.5667,71.74,61,3,5.84
165,Plettenberg Bay,ZA,2021-11-28 01:02:52,-34.0527,23.3716,62.62,71,36,4.43
166,Ormond Beach,US,2021-11-28 01:02:41,29.2858,-81.0559,57.34,71,1,0.0
167,Mastic Beach,US,2021-11-28 01:02:52,40.7668,-72.8521,35.8,48,1,10.36
168,Bac Lieu,VN,2021-11-28 01:02:53,9.285,105.7244,73.89,92,100,10.47
169,High Level,CA,2021-11-28 01:02:54,58.5169,-117.136,15.31,89,100,6.33
170,Kodiak,US,2021-11-28 01:02:54,57.79,-152.4072,17.11,62,20,11.5
171,Luvianos,MX,2021-11-28 01:02:55,18.9167,-100.4,62.96,63,0,3.36
172,Yuanping,CN,2021-11-28 01:02:55,38.7153,112.7575,36.25,62,6,0.34
173,Pingliang,CN,2021-11-28 01:02:56,35.5392,106.6861,38.14,83,8,0.67
174,Grindavik,IS,2021-11-28 01:02:56,63.8424,-22.4338,36.07,100,75,1.14
175,Penzance,GB,2021-11-28 01:02:57,50.1186,-5.5371,40.21,59,100,30.02
176,Erzin,TR,2021-11-28 01:00:28,36.9559,36.2,55.92,62,100,4.05
177,Pangnirtung,CA,2021-11-28 01:02:57,66.1451,-65.7125,16.48,77,100,7.27
178,Cabo San Lucas,MX,2021-11-28 01:02:58,22.8909,-109.9124,72.7,88,90,3.44
179,Svetlogorsk,BY,2021-11-28 01:03:58,52.6333,29.7333,34.11,84,54,6.31
180,Susangerd,IR,2021-11-28 01:03:59,31.5608,48.1831,63.81,42,100,11.43
181,Volkhov,RU,2021-11-28 01:03:59,59.9258,32.3382,25.21,91,100,11.74
182,Altay,CN,2021-11-28 01:03:59,47.8667,88.1167,5.22,59,12,6.49
183,Chokurdakh,RU,2021-11-28 01:04:00,70.6333,147.9167,-31.68,99,100,0.58
184,Ostrovnoy,RU,2021-11-28 01:04:00,68.0531,39.5131,9.37,88,89,8.61
185,Takestan,IR,2021-11-28 01:04:01,36.0696,49.6959,44.55,52,60,2.17
186,Amapa,BR,2021-11-28 01:04:01,1.0,-52.0,72.09,98,7,2.51
187,Kaoma,ZM,2021-11-28 01:02:14,-14.7833,24.8,62.67,90,50,4.85
