City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Klaksvik,FO,62.2266,-6.589,36.27,78,100,34.9,overcast clouds
146,Labuhan,ID,-6.8844,112.2051,77.65,84,75,3.96,light rain
147,Kincardine,GB,56.0667,-3.7167,45.63,96,100,10.71,overcast clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,76.39,82,26,13.31,scattered clouds
149,Fairbanks,US,64.8378,-147.7164,-21.95,96,83,2.39,broken clouds
150,Worland,US,44.0169,-107.9554,50.92,43,93,2.89,overcast clouds
151,Rosetta,EG,31.4044,30.4164,73.13,58,88,6.82,overcast clouds
152,Raga,SS,8.4596,25.678,85.01,32,45,3.11,scattered clouds
153,Porbandar,IN,21.6422,69.6093,77.74,42,80,9.24,broken clouds
154,Kinwat,IN,19.6333,78.2,69.6,46,100,1.72,overcast clouds
155,Surt,LY,31.2089,16.5887,63.77,24,69,16.78,broken clouds
156,Port Macquarie,AU,-31.4333,152.9167,64.56,90,100,4.0,overcast clouds
157,Bonthe,SL,7.5264,-12.505,82.29,75,78,8.14,broken clouds
158,Cidreira,BR,-30.1811,-50.2056,81.48,46,8,16.33,clear sky
159,Kazachinskoye,RU,57.6953,93.2761,23.77,89,100,8.63,overcast clouds
160,Neropolis,BR,-16.4064,-49.2186,83.93,57,90,3.58,overcast clouds
161,Saint George,US,37.1041,-113.5841,64.9,22,0,2.59,clear sky
162,Impfondo,CG,1.6381,18.0667,75.81,77,87,3.04,overcast clouds
163,Smithers,CA,54.7804,-127.1743,26.76,94,97,2.93,overcast clouds
164,Killybegs,IE,54.6333,-8.45,51.73,92,100,17.45,overcast clouds
165,Shaunavon,CA,49.6501,-108.4181,45.68,65,55,6.89,broken clouds
166,Ostersund,SE,63.1792,14.6357,16.21,91,87,4.92,overcast clouds
167,Poli,TZ,-3.3333,36.8,65.77,72,97,4.36,light rain
168,Port Blair,IN,11.6667,92.75,80.13,80,89,10.92,overcast clouds
169,Manggar,ID,-2.8833,108.2667,79.5,80,69,4.81,broken clouds
170,Nebolchi,RU,59.1239,33.3454,27.03,91,100,11.43,light snow
171,Torbay,CA,47.6666,-52.7314,45.91,74,33,6.85,scattered clouds
172,Ixtapa,MX,20.7,-105.2,88.07,39,9,4.83,clear sky
173,Otrado-Olginskoye,RU,45.3104,40.9397,59.56,56,69,12.73,broken clouds
174,Yantal,RU,56.8471,105.2542,9.54,92,99,8.41,overcast clouds
175,Ugoofaaru,MV,5.6667,73.0,77.25,92,99,17.85,overcast clouds
176,Koumac,NC,-20.5667,164.2833,77.88,83,3,2.86,clear sky
177,Bogale,MM,16.2833,95.4,72.48,84,69,6.13,broken clouds
178,Cavalcante,BR,-13.7975,-47.4583,77.68,72,100,7.23,overcast clouds
179,Clyde River,CA,70.4692,-68.5914,-4.67,84,99,3.65,overcast clouds
180,Lorengau,PG,-2.0226,147.2712,81.75,78,100,6.24,overcast clouds
181,Naze,JP,28.3667,129.4833,66.96,70,51,16.96,broken clouds
182,Szentlorinc,HU,46.0402,17.9872,35.98,73,52,15.3,broken clouds
183,Kimberley,ZA,-28.7323,24.7623,80.62,9,1,9.75,clear sky
184,Prince Rupert,CA,54.3161,-130.3201,36.55,80,76,7.34,broken clouds
185,Progreso,MX,21.2833,-89.6667,81.18,66,74,9.1,broken clouds
186,Viking,CA,53.1001,-111.7684,33.87,81,45,8.57,scattered clouds
187,Tuktoyaktuk,CA,69.4541,-133.0374,-10.55,92,100,16.22,overcast clouds
188,Esperance,AU,-33.8667,121.9,60.85,78,86,10.51,overcast clouds
189,Stephenville,US,32.2207,-98.2023,66.81,30,0,11.25,clear sky
190,Tongzi,CN,28.7829,105.0877,49.33,74,99,3.33,overcast clouds
191,Huanren,CN,41.2647,125.3667,32.63,98,100,3.96,snow
192,Plymouth,US,41.8334,-70.8328,39.31,57,99,8.57,overcast clouds
193,Port Elizabeth,ZA,-33.918,25.5701,65.17,83,82,5.97,broken clouds
194,Touros,BR,-5.1989,-35.4608,85.21,62,12,13.67,few clouds
195,Te Anau,NZ,-45.4167,167.7167,47.75,82,9,1.25,clear sky
196,Lavrentiya,RU,65.5833,-171.0,-11.43,91,16,8.41,few clouds
197,Flin Flon,CA,54.7682,-101.865,32.74,88,100,8.75,overcast clouds
198,Qianan,CN,44.9932,124.0581,19.04,97,100,0.98,overcast clouds
199,Avarua,CK,-21.2078,-159.775,73.58,64,83,7.14,broken clouds
200,Vitre,FR,48.1178,-1.2058,37.76,84,100,5.66,overcast clouds
201,Heihe,CN,50.2441,127.4902,7.14,95,100,5.1,overcast clouds
202,Carutapera,BR,-1.195,-46.02,84.11,72,76,8.63,broken clouds
203,Lufilufi,WS,-13.8745,-171.5986,81.32,77,31,12.95,light rain
204,Pitimbu,BR,-7.4706,-34.8086,83.82,65,69,12.01,broken clouds
205,Fort Nelson,CA,58.8053,-122.7002,5.32,92,65,2.91,broken clouds
206,Omsukchan,RU,62.5333,155.8,-14.48,99,100,4.29,overcast clouds
207,Matviyivka,UA,47.0747,35.1444,59.61,74,72,29.26,broken clouds
208,Swift Current,CA,50.2834,-107.8014,41.38,63,72,3.58,broken clouds
209,San Quintin,MX,30.4833,-115.95,70.9,43,0,5.97,clear sky
210,Saint-Philippe,RE,-21.3585,55.7679,76.21,85,61,9.4,broken clouds
211,Havoysund,NO,70.9963,24.6622,16.39,81,47,14.0,scattered clouds
212,Kirakira,SB,-10.4544,161.9205,80.17,83,26,4.61,scattered clouds
213,Chuy,UY,-33.6971,-53.4616,65.37,95,96,13.94,overcast clouds
214,Sol-Iletsk,RU,51.1631,54.9918,18.41,88,49,5.97,scattered clouds
215,Bambous Virieux,MU,-20.3428,57.7575,77.88,63,0,6.4,clear sky
216,Morlaix,FR,48.5833,-4.0,45.28,74,100,6.13,overcast clouds
217,Karangampel,ID,-6.4622,108.4519,80.08,78,78,7.81,broken clouds
218,Zhengjiatun,CN,43.5064,123.5064,23.97,94,100,3.47,overcast clouds
219,Punta Cardon,VE,11.6581,-70.215,85.08,66,84,20.13,broken clouds
220,Iqaluit,CA,63.7506,-68.5145,21.69,79,100,9.44,overcast clouds
221,Camacha,PT,33.0833,-16.3333,61.92,66,22,12.8,few clouds
222,Laguna,US,38.421,-121.4238,57.24,65,0,3.22,clear sky
223,Carupano,VE,10.6678,-63.2585,85.12,65,96,13.0,overcast clouds
224,Zhongshu,CN,24.5167,103.7667,45.54,97,100,7.67,overcast clouds
225,Barcelos,PT,41.5388,-8.6151,51.8,80,75,5.7,broken clouds
226,Pisco,PE,-13.7,-76.2167,72.95,64,91,8.9,overcast clouds
227,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.37,80,20,12.15,few clouds
228,Zharkovskiy,RU,55.849,32.2697,38.79,99,100,8.7,overcast clouds
229,Hasaki,JP,35.7333,140.8333,53.6,60,47,5.19,scattered clouds
230,Palu,ID,-0.8917,119.8707,73.6,95,100,3.47,overcast clouds
231,Povenets,RU,62.8487,34.8262,17.78,81,100,14.29,overcast clouds
232,Magaria,NE,12.9983,8.9099,79.21,11,11,7.07,few clouds
233,Bhatkal,IN,13.9667,74.5667,77.52,84,89,7.49,overcast clouds
234,San Pedro,PH,14.35,121.0167,76.73,88,79,4.68,broken clouds
235,Sibiti,CG,-3.6819,13.3499,70.65,94,100,0.78,light rain
236,Bubaque,GW,11.2833,-15.8333,83.35,65,94,11.81,overcast clouds
237,Broken Hill,AU,-31.95,141.4333,68.72,56,0,8.48,clear sky
238,Olafsvik,IS,64.8945,-23.7142,30.83,93,100,15.59,snow
239,Joshimath,IN,30.5667,79.5667,49.15,19,0,7.94,clear sky
240,Khani,GE,41.9563,42.9566,53.2,61,37,8.16,scattered clouds
241,Lazaro Cardenas,MX,17.9583,-102.2,85.14,49,6,4.38,clear sky
