City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Pierre,US,61.38,overcast clouds,44.3683,-100.351,Ramkota Hotel
451,Waingapu,ID,79.99,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
452,Ormara,PK,76.98,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
461,San Carlos De Bariloche,AR,70.43,broken clouds,-41.1456,-71.3082,Hotel Patagonia
462,Manado,ID,76.82,overcast clouds,1.487,124.8455,Aryaduta Hotel
465,Lishui,CN,61.36,overcast clouds,28.4604,119.9103,Bayi Hotel
466,Port Augusta,AU,71.35,clear sky,-32.5,137.7667,Majestic Oasis Apartments
469,Yerkoy,TR,63.27,overcast clouds,39.6381,34.4672,Yerköy Öğretmenevi
470,Mananjary,MG,73.69,scattered clouds,-21.2167,48.3333,Vahiny Lodge
472,Taltal,CL,65.88,few clouds,-25.4,-70.4833,Residencial Karime
473,Kieta,PG,79.72,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
475,Fukue,JP,64.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
476,Baghdad,IQ,67.73,few clouds,33.3406,44.4009,Baghdad Hotel
479,Tabas,IR,60.66,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
480,Kutum,SD,75.15,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
481,Lubango,AO,69.13,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
482,Santa Cruz,BO,68.58,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
483,Safaga,EG,79.83,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
485,Puerto Penasco,MX,72.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
486,Doha,QA,71.06,clear sky,25.2867,51.5333,Movenpick Hotel Doha
490,Vanimo,PG,78.44,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
495,Mackay,AU,78.58,broken clouds,-21.15,149.2,International Lodge Motel
499,Mochudi,BW,77.34,light rain,-24.4167,26.15,Motsile BigMots' Place
500,Sabha,LY,60.75,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
508,Alexandria,EG,76.26,broken clouds,31.2156,29.9553,Royal Crown Hotel
509,Ntcheu,MW,74.19,broken clouds,-14.8203,34.6359,Dear Executive Lodge
517,Ewa Beach,US,74.41,clear sky,21.3156,-158.0072,Uncle Junior Robert
518,Bloemfontein,ZA,72.82,clear sky,-29.1211,26.214,aha Bloemfontein Hotel
